,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2022-12-31,ATVI,USD,0000718877,2023-02-23,2023-02-23 16:25:20,2022,FY,7060000000,4932000000,11992000000,1204000000,0,1273000000,14469000000,193000000,9929000000,1083000000,11012000000,0,1201000000.0,508000000,12914000000,0,27383000000,324000000,0,0,2088000000,1143000000,3555000000,3611000000,158000000.0,158000000,658000000,4585000000,0,0,8140000000,0,0,13171000000,-625000000.0,6697000000,19243000000,19243000000,27383000000,0,27383000000,4932000000,3611000000,-3449000000,https://www.sec.gov/Archives/edgar/data/718877/000162828023004842/0001628280-23-004842-index.htm,https://www.sec.gov/Archives/edgar/data/718877/000162828023004842/atvi-20221231.htm
1,2022-12-02,ADBE,USD,0000796343,2023-01-17,2023-01-17 16:34:00,2022,FY,4236000000,1860000000,6096000000,2065000000,0,835000000,8996000000,2315000000,12787000000,1449000000,14236000000,0,777000000.0,841000000,18169000000,0,27165000000,379000000,587000000,75000000,5297000000,1865000000,8128000000,4046000000,117000000.0,28000000,795000000,4986000000,0,504000000,13114000000,0,0,28319000000,-293000000.0,-13975000000,14051000000,14051000000,27165000000,0,27165000000,1860000000,4633000000,397000000,https://www.sec.gov/Archives/edgar/data/796343/000079634323000007/0000796343-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000007/adbe-20221202.htm
2,2022-06-30,ADP,USD,0000008670,2022-08-03,2022-08-03 14:16:38,2022,FY,1436300000,0,1436300000,3170600000,49569200000,628800000,54804900000,1103500000,2300500000,1333100000,3633600000,0,67000000.0,3459200000,8263300000,0,63068200000,110200000,136400000,38400000,188200000,54723900000,55158700000,3358000000,335000000.0,67000000,924200000,4684200000,0,370900000,59842900000,0,63900000,20696300000,-1993700000.0,-15541200000,3225300000,3225300000,63068200000,0,63068200000,0,3494400000,2058100000,https://www.sec.gov/Archives/edgar/data/8670/000000867022000038/0000008670-22-000038-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867022000038/adp-20220630.htm
3,2022-12-31,ABNB,USD,0001559720,2023-02-17,2023-02-17 16:07:04,2022,FY,7378000000,2244000000,9622000000,4783000000,0,456000000,14861000000,259000000,650000000,34000000,684000000,0,0.0,234000000,1177000000,0,16038000000,137000000,59000000,418000000,1182000000,6600000000,7978000000,2282000000,0.0,0,218000000,2500000000,0,354000000,10478000000,0,0,-5965000000,-32000000.0,11557000000,5560000000,5560000000,16038000000,0,16038000000,2244000000,2341000000,-5037000000,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/0001559720-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/abnb-20221231.htm
4,2022-12-31,ALGN,USD,0001097149,2023-02-27,2023-02-27 16:05:31,2022,FY,942050000,57534000,999584000,859685000,338752000,226370000,2424391000,1350735000,407551000,95720000,503271000,41978000,1571746000.0,55826000,3523556000,0,5947947000,127870000,26574000,74323000,1343643000,427800000,1925887000,100334000,0.0,0,320368000,420702000,0,100334000,2346589000,0,8000,2566688000,-10284000.0,1044946000,3601358000,3601358000,5947947000,0,5947947000,99512000,126908000,-815142000,https://www.sec.gov/Archives/edgar/data/1097149/000109714923000013/0001097149-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714923000013/algn-20221231.htm
5,2022-12-31,GOOGL,USD,0001652044,2023-02-03,2023-02-02 21:23:45,2022,FY,21879000000,91883000000,113762000000,40258000000,2670000000,8105000000,164795000000,127049000000,28960000000,2084000000,31044000000,30492000000,5261000000.0,6623000000,200469000000,0,365264000000,5128000000,2477000000,9258000000,3908000000,57787000000,69300000000,27202000000,599000000.0,514000000,11505000000,39820000000,0,12501000000,109120000000,-68184000000,68184000000,195563000000,-7603000000.0,68184000000,256144000000,256144000000,365264000000,0,365264000000,122375000000,29679000000,7800000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm
6,2022-12-31,GOOG,USD,0001652044,2023-02-03,2023-02-02 21:23:45,2022,FY,21879000000,91883000000,113762000000,40258000000,2670000000,8105000000,164795000000,127049000000,28960000000,2084000000,31044000000,30492000000,5261000000.0,6623000000,200469000000,0,365264000000,5128000000,2477000000,9258000000,3908000000,57787000000,69300000000,27202000000,599000000.0,514000000,11505000000,39820000000,0,12501000000,109120000000,-68184000000,68184000000,195563000000,-7603000000.0,68184000000,256144000000,256144000000,365264000000,0,365264000000,122375000000,29679000000,7800000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm
7,2022-12-31,AMZN,USD,0001018724,2023-02-03,2023-02-02 18:27:34,2022,FY,53888000000,16138000000,70026000000,42360000000,34405000000,0,146791000000,252838000000,20288000000,0,20288000000,0,0.0,42758000000,315884000000,0,462675000000,79600000000,0,0,13227000000,62566000000,155393000000,140118000000,0.0,0,21121000000,161239000000,0,72968000000,316632000000,0,108000000,83193000000,-4487000000.0,67229000000,146043000000,146043000000,462675000000,0,462675000000,16138000000,140118000000,86230000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm
8,2022-12-31,AMD,USD,0000002488,2023-02-27,2023-02-27 16:20:39,2022,FY,4835000000,1020000000,5855000000,4128000000,3771000000,1265000000,15019000000,1973000000,24177000000,24118000000,48295000000,83000000,58000000.0,2152000000,52561000000,0,67580000000,2493000000,312000000,0,859000000,2705000000,6369000000,2863000000,0.0,1934000000,1664000000,6461000000,0,396000000,12830000000,0,16000000,-131000000,-41000000.0,54906000000,54750000000,54750000000,67580000000,0,67580000000,1103000000,3175000000,-1660000000,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/0000002488-23-000047-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm
9,2022-12-31,AEP,USD,0000004904,2023-02-23,2023-02-23 08:24:42,2022,FY,509400000,187500000,696900000,2669700000,1302100000,1457100000,9418700000,71927900000,52500000,0,52500000,3787200000,8493299999.999999,-210200000,84050700000,0,93469400000,2613000000,6222000000,1672800000,370000000,5362400000,14567400000,34178300000,8493299999.999999,8493300000,3614700000,54779600000,0,665500000,69347000000,0,3413100000,12345600000,83700000.0,8051000000,23893400000,23893400000,93469400000,229000000,93469400000,3974700000,40400300000,39890900000,https://www.sec.gov/Archives/edgar/data/4904/000000490423000011/0000004904-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490423000011/aep-20221231.htm
